# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 11 12:33:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,52.000000,,,7786.50000,24.50000,Mass,,,,M3.5 V,3530.00,,0.40,,,,0.120,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,,,,M6,3064.00,0.28,0.11,,,4.59,0.035,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,18.5490000,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,15.000000,,,2383.60000,7.50000,Mass,,,,M8.5,,,0.02,,,,0.001,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,55.000000,,,1589.15000,5.00000,Mass,,,1250,M8,,,0.02,,,,0.008,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406.00000000,,,,591.16084,1.86000,Msini,0.330000,,,,29564.00,0.20,0.48,,,5.51,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,,230.000000,,,3972.87500,12.50000,Mass,,,,K7 V,4045.00,,0.60,,,,0.120,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,13.7310000,12.3680000
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,335.10001000,0.990000,,,4392.41060,13.82000,Msini,0.290000,,,,6331.00,1.41,1.93,0.190,[Fe/H],4.43,,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,7.4580000,7.0920900
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,270.27000000,0.877000,,,2511.48007,7.90200,Msini,0.453000,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],1.80,4.604,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,5.7700000,4.5801000
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,479.10000000,1.190000,,,1233.13000,3.88000,Msini,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],1.71,9.490,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,6.0050000,4.8262000
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078.00000000,2.100000,,,804.08000,2.53000,Msini,0.032000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391.00000000,3.600000,,,171.62100,0.54000,Msini,0.098000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002.00000000,11.600000,,,521.22000,1.64000,Msini,0.160000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.6460000,5.0335200
51 Eri b,51 Eri,1,3,1,Imaging,2015,,13.200000,,,635.66000,2.00000,Mass,,,700,F0 IV,,,1.75,-0.027,[M/H],,0.020,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,5.4860000,5.2114900
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.23078500,0.052700,,,150.00900,0.47200,Msini,0.013000,,,,5758.00,1.18,1.03,0.180,[M/H],4.31,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,6.1040000,5.4530900
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,14.65160000,0.113400,,,255.40000,0.80360,Msini,0.000000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,44.39890000,0.237300,,,51.20000,0.16110,Msini,0.030000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,5574.20000000,5.957000,,,991.60000,3.12000,Msini,0.130000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,0.050000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,259.88000000,0.770800,,,47.80000,0.15030,Msini,0.080000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,6.8160000,5.9508400
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,919.86000000,2.028000,,,597.83523,1.88100,Msini,0.042000,,,K0 IV,4941.00,4.94,1.32,-0.170,[Fe/H],3.16,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,6.7960000,5.8730700
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,4.21500000,0.050201,,,5.10000,0.01600,Msini,0.120000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,38.02100000,0.217500,,,18.20000,0.05700,Msini,0.140000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,123.01000000,0.476000,,,22.90000,0.07200,Msini,0.350000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0720000,4.6955000
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,735.10000000,1.758000,,,587.98550,1.85000,Msin(i)/sin(i),0.060000,,,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,4.300,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,996.00000000,2.153000,,,276.51210,0.87000,Msin(i)/sin(i),0.080000,,,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,4.300,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,5.0130000,3.9500000
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,116.68800000,0.481000,,,2357.02728,7.41600,Msini,0.398800,,,,5495.00,1.89,1.09,,,3.95,,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,5.6780000,4.9680800
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,696.62000000,1.912000,,,787.89662,2.47900,Msini,0.093000,,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,6.3660000,5.3532000
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,2051.62000000,3.929000,,,289.85951,0.91200,Msini,0.023000,,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,6.3660000,5.3532000
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,93.40000000,0.490000,,,416.35730,1.31000,Msini,0.060000,,,,4847.00,10.30,1.44,-0.030,[Fe/H],2.57,,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,7.8340000,6.8329500
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,1005.57000000,2.104000,,,1051.05854,3.30700,Msini,0.037000,,,G5 III,4734.00,11.21,1.23,-0.110,[Fe/H],2.41,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,6.6750000,5.6430700
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,181.40000000,0.700000,,,1017.00000,3.20000,Msini,0.027000,,,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],2.52,3.560,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,5.3500000,4.2394600
AB Aur b,AB Aur,1,1,1,Imaging,2022,,93.900000,,,2860.45566,9.00000,Mass,0.400000,,,,9770.00,,2.40,,,,0.003,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,7.1930000,7.0760000
AB Pic b,AB Pic,1,1,1,Imaging,2005,,260.000000,,,4290.50000,13.50000,Mass,,,,K2 V,,,,,,,0.030,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,10.1480000,9.1300000
AF Lep b,AF Lep,1,1,1,Imaging,2023,8030.00000000,8.400000,,,1017.05090,3.20000,Mass,0.240000,,,F8 V,6130.00,1.25,1.20,0.190,[Fe/H],,0.024,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,6.8540000,6.3320000
AU Mic b,AU Mic,1,1,3,Transit,2020,8.46299910,0.064500,,,20.12000,0.06330,Mass,0.186000,,,,,,0.50,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,AU Mic,1,1,3,Transit,2021,18.85899100,0.110100,,,9.60000,0.03020,Mass,,,,,,,0.50,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,12.73596000,,,,1.05300,0.00331,Mass,0.003050,,,,3678.00,0.74,0.51,0.230,[Fe/H],4.40,0.020,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,10.2090000,8.8100000
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,481.90000000,1.300000,,,2034.11200,6.40000,Msini,0.200000,,,,4095.00,32.35,1.14,-0.710,[Fe/H],1.89,5.200,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,10.7950000,9.5770000
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,268.94000000,0.780000,,,330.54320,1.04000,Msini,0.290000,,,,4864.00,0.86,0.49,0.170,[Fe/H],4.26,,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,10.5810000,9.7800000
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,153.22000000,0.576000,,,337.21763,1.06100,Msini,0.001000,,,,4649.00,8.95,1.08,-0.220,[Fe/H],2.61,7.410,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,11.3870000,10.4100000
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,137.48000000,0.539000,,,352.78000,1.11000,Msini,0.260000,,,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.80,7.100,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,10.1210000,9.0100000
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,379.63000000,1.450000,,,6807.63000,21.42000,Msini,0.150000,,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,10.9890000,9.7430000
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,621.99000000,2.010000,,,3963.17000,12.47000,Msini,0.180000,,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,10.9890000,9.7430000
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,578.20000000,1.300000,,,1334.88600,4.20000,Msini,0.210000,,,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.99,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,10.7200000,9.3670000
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,41.68550000,,2.578,0.230,22.24810,0.07000,Mass,0.000000,,,,5766.00,1.08,1.67,-0.150,[Fe/H],4.50,,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,11.7650000,10.8490000
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,307.88000000,0.830000,,,432.24663,1.36000,Msini,0.120000,,,K1,5004.00,,0.81,-0.090,[Fe/H],4.22,,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,10.5360000,9.6700000
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,392.60000000,1.000000,,,289.22530,0.91000,Msini,0.200000,,,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],2.24,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,10.3520000,9.1390000
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,733.00000000,1.700000,,,540.31100,1.70000,Msini,0.760000,,,,4534.00,10.33,1.09,-0.130,[Fe/H],2.48,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,10.5100000,8.6900000
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,2590.00000000,4.200000,,,508.50000,1.60000,Msini,0.350000,,,K0,4943.00,7.60,1.52,-0.190,[Fe/H],2.85,2.340,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,10.5080000,9.3810000
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,265.59000000,0.780000,,,228.83645,0.72000,Msini,0.270000,,,K3,5012.00,,0.91,0.180,[Fe/H],4.09,,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,10.2990000,9.3800000
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,,,1303,K0,4993.00,0.80,1.00,,,4.55,0.100,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,10.3790000,9.3740000
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,1198.48000000,2.060000,,,1258.60049,3.96000,Msini,0.880000,,,K0,5000.00,,0.82,-0.090,[Fe/H],4.20,,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,9.8300000,8.9600000
BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,723.20000000,1.480000,,,7961.60160,25.05000,Msini,0.390000,,,G0,5040.00,,0.81,-0.140,[Fe/H],4.25,,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402000,9.9140000,9.0100000
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,3.87280000,0.042800,,,8.50000,0.02700,Msini,0.000000,,,K7/M0 V,4324.00,,0.70,-0.140,[Fe/H],4.74,4.400,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,10.9720000,9.7000000
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,125.94000000,0.435000,,,53.00000,0.17000,Msini,0.310000,,,K7/M0 V,4324.00,,0.70,-0.140,[Fe/H],4.74,4.400,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,10.9720000,9.7000000
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,5.60000000,0.060000,,,12.71320,0.04000,Msini,0.150000,,,,4816.00,0.71,0.50,-0.060,[Fe/H],4.43,,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,10.8800000,9.8600000
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,237.60000000,0.680000,,,104.00000,0.33000,Msini,0.190000,,,K3 V,4746.00,,0.74,-0.070,[Fe/H],4.13,4.500,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,10.8800000,9.8600000
BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,3.48777000,0.040000,,,187.51970,0.59000,Msini,0.020000,,,,5393.00,0.91,1.47,0.380,[Fe/H],4.69,,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000,10.8780000,10.0130000
BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,1634.00000000,2.360000,,,206.58950,0.65000,Msini,0.050000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,7.400,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,11.2430000,10.0300000
BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,74.20000000,0.300000,,,15.37000,0.04836,Msini,0.400000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,7.400,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,11.2430000,10.0300000
BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,714.29999000,1.660000,,,3108.37740,9.78000,Msini,0.210000,,,,4545.00,19.17,2.12,-0.080,[Fe/H],2.20,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000,11.3130000,10.0380000
BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,655.60000000,1.340000,,,1620.90000,5.10000,Msini,0.540000,,,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],4.26,4.300,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000,10.6770000,9.6200000
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,1891.00000000,2.630000,,,214.00000,0.70000,Msini,0.100000,0.02,,K7 V,4051.00,0.75,0.68,0.120,[Fe/H],4.67,6.200,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,11.1370000,9.8400000
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,6240.00000000,5.900000,,,1525.57635,4.80000,Mass,0.430000,,,K7 V,,,0.69,,,,4.000,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,11.1370000,9.8400000
CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,2.29070000,0.018500,,,3.95000,0.01243,Msini,,8.60,464,M5.0 V,3130.00,0.17,0.16,0.130,[Fe/H],4.93,3.000,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.6071500,,13.9500000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,10037.50000000,2.600000,,,3337.10000,10.50000,Mass,,,370,,580.50,,0.02,,,4.72,,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,Mass,,,1800,M9-L1,2320.00,0.24,0.01,,,3.85,0.003,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,,
CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,,210.000000,,,3994.48600,12.56900,Mass,,,,M3.5,,,0.35,,,,0.002,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000,,
